file,events,duration,parts
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (24).mid,831,180.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (25).mid,504,120.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (26).mid,439,144.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (27).mid,391,128.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (28).mid,853,223.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (29).mid,688,193.66666666666666,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (3).mid,282,92.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (30).mid,548,185.16666666666666,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (31).mid,407,142.33333333333334,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (32).mid,618,114.08333333333333,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (33).mid,564,225.5,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (34).mid,924,164.75,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (35).mid,966,344.25,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (36).mid,577,110.25,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (37).mid,936,153.58333333333334,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (38).mid,677,134.33333333333334,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (39).mid,601,108.41666666666667,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (4).mid,281,92.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (40).mid,754,134.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (41).mid,817,144.08333333333334,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (42).mid,605,132.25,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (43).mid,410,88.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (44).mid,884,169.25,1
